Genus,Species,LOA (mm),MSR,C,Ven,CS,SC,ST,RTL (%),Elev. (m),RM,OS
Ramphotyphlops,mansuetus,150–159,18,S,333–397,U,16–18,U,2.9–3.8,0–1065,0,–
Ramphotyphlops,marxi,180–325,28–30,S,525–629,U,30–36,U,5.5–5.8,55,0,–
Ramphotyphlops,mollyozakiae,154–176,20,S,291–327,U,7–12,U,1.8–2.9,200–1100,0,1–2
Ramphotyphlops,multilineatus,220–427,20,S,513–586,U,20–22,U,2.6–4.3,0–870,0,–
Ramphotyphlops,olivaceus,106–480,20–22,S,441–568,U,16–31,U,2.6–6.2,0–35,0,3
Ramphotyphlops,similis,154–235,20,S,234–235,U,9–12,U,3.2–3.9,0–100,0,–
Ramphotyphlops,suluensis,170–345,20–22,S,405–435,U,23–28,U,2.4–6.1,0–20,0,–
Ramphotyphlops,supranasalis,183–301,22–24,S,340–438,U,13–18,U,2.3–4.4,95,0,–
Ramphotyphlops,willeyi,166–195,22,S,369–375,U,11–15,U,2.2–2.6,0–150,0,–
Regina,grahamii,152–1194,17–20,K,155–180,D,51–67,2,14.7–26.5,0–600,1,4–39
Regina,septemvittata,149–921,19,K,118–159,D,47–89,2,19.9–34.4,0–760,1,4–31
Rena,boettgeri,225–253,14,S,244–269,E,12–18,U,4.9–5.4,0–300,0,–
Rena,bressoni,196–265,14,S,227–246,E,16,U,4.5–6.6,490–1625,0,–
Rena,dissecta,65–294,14,S,213–255,E,12–16,U,4.3–6.0,215–2170,0,2–7
Rena,dugesii,97–321,14,S,212–257,E,16–18,U,5.3–5.6,0–2000,0,–
Rena,dulcis,65–283,14,S,192–257,E,11–17,U,3.1–8.3,10–2460,0,1–8
Rena,humilis,65–410,14,S,244–312,E,15–21,U,3.5–7.3,–75 to 1725,0,1–8
Rena,iversoni,76–196,14,S,202–226,E,13–16,U,4.6–5.6,375–1000,0,–
Rena,klauberi,272,14,S,252,E,14,U,5.4,1610,0,–
Rena,maxima,123–341,14,S,199–238,E,11–16,U,4.0–6.6,90–1950,0,3
Rena,myopica,78–276,14,S,192–236,E,13–14,U,4.3–7.5,25–2175,0,–
Rena,segrega,112–356,14,S,253–287,E,12–19,U,4.5–12.0,700–1525,0,2–6
Rena,unguirostris,67–254,14,S,241–324,E,9–14,U,2.9–9.5,75–1215,0,1–8
Rhabdophis,adleri,488–927,19,K,150–164,D,73–88,2,19.4–28.9,60–800,0,4–6
Rhabdophis,akraios,770–880,17–19,K,167–184,D,44–66,2,15.9–19.5,1665–2880,0,–
Rhabdophis,angeli,290–454,15,S,117–126,D,36–46,2,14.8–21.2,450–900,0,–
Rhabdophis,auriculatus,140–524,15–17,K,143–162,D,71–93,2,22.0–31.5,75–2100,0,–
Rhabdophis,barbouri,436–913,19,K,148–166,D,75–101,2,27.8–32.5,0–1500,0,–
Rhabdophis,bindi,198–810,19,K,156–164,D,76–102,2,24.1–29.5,20–100,0,3
Rhabdophis,callichromus,550–714,19,S,143–159,D,79–91,2,20.5–25.1,400,0,–
Rhabdophis,callistus,305–800,21,K,148–160,D,70–85,2,23.0–25.6,0–1200,0,–
Rhabdophis,ceylonensis,127–500,19,K,131–145,D,40–57,2,18.3–22.4,10–1220,0,7
Rhabdophis,chiwen,508–583,15,k,151–159,D,45–59,2,17.2–23.8,1100–2200,0,–
Rhabdophis,chrysargoides,680–880,19–21,K,148–164,D,53–85,2,20.0–25.2,350–1000,0,–
Rhabdophis,chrysargos,148–980,19,K,139–184,D,51–94,2,18.5–31.6,100–1680,0,2–10
Rhabdophis,confusus,180–810,19,K,144–158,D,56–79,2,19.1–26.9,20–145,0,–
Rhabdophis,flaviceps,575–850,19,K,120–138,D,49–60,2,17.2–23.0,0–1300,0,11
Rhabdophis,formosanus,150–1150,19,K,148–171,D,77–88,2,22.7–34.1,270–3000,0,8–47
Rhabdophis,guangdongensis,537,15,S,126,D,39,2,16.4,55–140,0,–
Rhabdophis,helleri,130–1300,19,K,157–184,D,67–97,2,20.7–28.6,575–2250,0,5–17
Rhabdophis,himalayanus,196–1250,19,K,151–177,D,69–98,2,21.9–29.8,30–2350,0,5–10
Rhabdophis,hmongorum,515,17,K,151,D,59,2,20.6,2605,0,–
Rhabdophis,kaiyuanensis,607–758,15–17,k,147–153,D,44–58,2,15.9–22.9,1600,0,–
Rhabdophis,lateralis,419–1165,19,k,144–188,D,38–74,2,14.6–30.4,0–65,0,2–25
Rhabdophis,leonardi,166–811,15–17,Kn,136–171,D,36–64,2,14.2–23.5,445–2850,0,2–19
Rhabdophis,murudensis,500–1044,19,K,176–185,D,63–97,2,18.4–37.6,915–2600,0,–
Rhabdophis,nigrocinctus,262–950,17–19,Kn,150–171,D,72–97,2,18.9–29.0,400–2410,0,6
Rhabdophis,nuchalis,173–900,15–17,S/k,139–169,D,35–65,2,10.3–30.0,620–2850,0,8–19
Rhabdophis,pentasupralabialis,169–674,15,k,135–163,D,43–69,2,16.7–24.5,1200–3200,0,1–10
Rhabdophis,plumbicolor,135–940,21–27,K,144–162,D(E),27–50,2,10.9–16.8,600–2500,0,4–22
Rhabdophis,rhodomelas,250–750,19,K,124–145,D,41–99,2,16.0–22.9,150–1600,0,5–25
Rhabdophis,siamensis,591–772,19,K,137–159,D,65–89,2,23.8–30.3,30–880,0,17
Rhabdophis,spilogaster,368–910,17–19,K,147–156,D,75–92,2,25.8–28.6,0–260,0,–
Rhabdophis,subminiatus,130–1320,17–21,K,132–190,D,56–100,2,20.0–31.4,20–3200,0,5–17
Rhabdophis,swinhonis,392–902,15,k,124–165,D,37–74,2,16.5–25.0,40–850,0,–
Rhabdophis,tigrinus,150–1500,19,K,144–172,D,55–86,2,14.2–27.6,30–2200,0,2–40
Rhabdops,aquaticus,200–945,17,S,224–230,D,66–81,2,15.6–21.7,745–1165,0,–
Rhabdops,olivaceus,222–780,17,S,202–217,D,52–74,2,14.9–18.8,610–1300,0,–
Rhachidelus,brazili,867–1600,25,S,178–184,E,66–79,3,17.9–23.5,45–1235,0,2–8
Rhadinaea,anachoreata,216–281,17,Sa,139–154,D,64–80,2,25.5–30.4,130–900,0,–
Rhadinaea,bogertorum,116–448,17,Sa,144–170,D,62–80,2,21.0–29.7,1500–2400,0,–
Rhadinaea,calligaster,300–513,17,Sa,141–156,D,46–68,2,18.6–28.9,1220–2500,0,8
Rhadinaea,cuneata,204–514,17,Sa,152–158,D,95–115,2,34.3–35.6,50–1400,0,–
Rhadinaea,decorata,126–675,17,Sa,110–134,D,67–137,2,35.3–47.6,10–1750,0,1–4
Rhadinaea,flavilata,110–403,17,Sa,112–176,D,59–97,2,24.6–35.9,0–190,0,1–4
Rhadinaea,forbesi,414–420,17,Sa,136–149,D,56–67,2,24.8–29.0,520–2590,0,–
Rhadinaea,fulvivittis,473–478,17,Sa,148–183,D,79–103,2,27.2–36.8,70–3300,0,3
Rhadinaea,gaigeae,466–650,17,Sa,156–184,D,81–112,2,27.5–34.2,200–2835,0,3–5
Rhadinaea,hesperia,250–592,17,Sa,139–177,D,104–137,2,32.2–41.6,100–2560,0,13
Rhadinaea,laureata,183–650,17,Sa,150–176,D,73–102,2,27.1–33.3,900–3080,0,3–4
Rhadinaea,macdougalli,187–350,17,Sa,119–141,D,60–82,2,28.0–35.6,900–2000,0,–
Rhadinaea,marcellae,127–360,17,Sa,127–138,D,69–78,2,27.5–33.6,670–2130,0,7
Rhadinaea,montana,430–580,17,Sa,161–186,D,74–116,2,29.6–33.0,540–2135,0,–
Rhadinaea,myersi,137–391,17,Sa,132–145,D,68–84,2,28.0–34.7,1300–2330,0,–
Rhadinaea,nuchalis,379,17,Sa,149–151,D,63–77,2,27.4,1680–1720,0,–
Rhadinaea,omiltemana,389–566,17,Sa,150–168,D,78–90,2,27.5–33.8,500–2450,0,–
Rhadinaea,pulveriventris,430–502,17,Sa,119–134,D,63–80,2,25.9–32.6,500–1600,0,4–8
Rhadinaea,quinquelineata,435–438,17,Sa,166–179,D,76–92,2,26.2–38.1,1940–2560,0,–
Rhadinaea,sargenti,302–310,17,Sa,118–126,D,67–72,2,31.9–34.9,300–2460,0,2
Rhadinaea,taeniata,325–880,17,Sa,140–197,D,78–121,2,27.1–36.8,715–3050,0,10–13
Rhadinaea,vermiculaticeps,295–374,17,Sa,117–121,D,63–82,2,30.5–35.0,100–1650,0,2–8
Rhadinella,anachoreta,216–251,17,S,139–154,D,64–80,2,25.5–28.7,200–1180,0,–
Rhadinella,donaji,268+,17,S,166,D,40+,2,–,2195,0,–
Rhadinella,dysmica,166–341+,17,S,172,D,63+,2,33.1–33.7,430–865,0,–
Rhadinella,godmani,186–568,19–21,S,156–189,D,71–95,2,22.2–32.0,1000–2650,0,4–8
Rhadinella,hannsteini,155–324,17,S,140–153,D,62–75,2,24.6–29.6,500–2000,0,–
Rhadinella,hempsteadae,394–593,17,S,156–172,D,94,2,24.3–32.8,1200–3000,0,–
Rhadinella,kanalchutchan,247–490,19–21,S,159–169,D,71–90,2,26.7–31.4,2300–2710,0,3
Rhadinella,kinkelini,148–350,17–19,S,136–164,D,70–83,2,25.9–32.6,700–2200,0,3
Rhadinella,lachrymans,310–493,17,S,154–183,D,61–89,2,23.3–31.2,500–3000,0,–
Rhadinella,lisyae,310–487,17,S,158–167,D,65–78,2,25.6–27.5,1300–2290,0,–
Rhadinella,montecristi,159–555,19,S,157–176,D,71–87,2,24.9–31.2,1300–2620,0,–
Rhadinella,pegosalyta,355–511,21,S,163,D,86,2,24.7–27.3,1550,0,–
Rhadinella,pilonaorum,310–318,17,S,151–171,D,100–111,2,32.3–33.3,670–1080,0,–
Rhadinella,posadasi,257–288,17,S,136–146,D,86–95,2,33.3–37.4,500–1830,0,–
Rhadinella,rogerromani,286,21,S,161,D,96,2,30.1,1450,0,–
Rhadinella,schistosa,186–215,17,S,145–156,D,31–42,2,14.4–18.3,800–1600,0,–
Rhadinella,serperaster,368–445,19,S,156–172,D,66–79,2,23.9–27.5,1160–2200,0,6
Rhadinella,stadelmani,173–450,17,S,179,D,74,2,24.7–30.4,1600–3300,0,–
Rhadinella,tolpanorum,381–419,17,S,157–164,D,68–73,2,25.7–26.0,1500–1900,0,–
Rhadinella,xerophila,335,17,S,158,D,116,2,38.2,580,0,–
Rhadinophanes,monticola,357–412+,19,S,174–181,D,54–64,2,19.7–23.2,2000–3100,0,6
Rhadinophis,frenatus,120–1600,17–19,S/k,198–235,D,108–149,2,22.0–32.5,200–2800,0,4–12
Rhamnophis,aethiopissa,230–1400,15–19,S/k,154–179,D,117–159,2,24.4–38.0,5–2000,0,2–17
Rhamnophis,batesii,383–1800,13,S,163–180,E,91–114,2,19.4–33.1,20–1300,0,–
Rhamphiophis,maradiensis,449–573,17,S,178–188,D,58–64,2,18.3–20.5,360–390,0,–
Rhamphiophis,oxyrhynchus,280–1590,17,S,162–198,D,80–108,2,22.3–32.0,0–1700,0,6–18
Rhamphiophis,rostratus,250–1600,17,S,148–194,D,87–125,2,25.0–35.1,400–2135,0,3–18
Rhamphiophis,rubropunctatus,385–2500,19,S,207–245,D,130–160,2,27.8–34.0,0–1500,0,–
Rhinechis,scalaris,200–2600,25–31,S,198–228,D,48–68,2,14.4–27.6,0–2245,0,4–24
Rhinobothryum,bovallii,318–1762,19–21,S,239–246,D,115–125,2,21.3–26.8,5–2250,0,3–6
Rhinobothryum,lentiginosum,467–1605,19–21,S,245–278,D,106–120,2,15.8–27.4,10–490,0,3–4
Rhinocheilus,antonii,278–780,23–25,S,183–217,E,41–56,1(2),11.3–> 14.4,0–460,0,–
Rhinocheilus,etheridgei,241–1166,23–25,S,210–215,E,50–53,2,12.9–14.8,0–765,0,–
Rhinocheilus,lecontei,166–1520,23–25,S,181–218,E,41–61,2,12.0–23.9,–75 to 1900,0,1–12
Rhinoguinea,magma,178–398,14,S,463–487,E,23–26,U,3.3–4.2,385,0,–
Rhinoleptus,koniagui,187–460,16,S,428–546,E,20–30,U,3.7–4.8,25–450,0,5–15
Rhinophis,blythii,186–368,17,S,148–168,D,4–9,2,2.0–4.1,300–1700,1,–
Rhinophis,dinarzardae,89–260,19,S,178–204,D,3–7,2,2.2–4.1,400–500,1,–
Rhinophis,dorsimaculatus,145–339,17,S,238,D,6,2,2.3–3.9,0–1060,1,–
Rhinophis,drummondhayi,252–330,17,S,173–191,D,4–8,2,2.0–3.8,630–1525,1,–
Rhinophis,erangaviraji,73–288,17,S,140–154,D,5–9,2,2.3–4.2,630–1040,1,–
Rhinophis,fergusonianus,236–472,15,S,180–197,D,5–9,2,2.8–5.1,50–140,1,–
Rhinophis,goweri,270,17,S,215,D,5,2,1.9,980,1,–
Rhinophis,gunasekarai,148–266,17,S,177–182,D,5–8,2,3.0–3.0,1420,1,–
Rhinophis,homolepis,136–304,17,S,180–204,D,3–6,2,2.1–3.8,750–950,1,2–4
Rhinophis,karinthandani,158–280,15,S,189–205,D,4–8,2,2.4–4.0,760–835,1,–
Rhinophis,lineatus,114–286,17,S,182–195,D,4–7,2,1.8–3.6,1460,1,–
Rhinophis,martin,175–259,17,S,167–186,D,3–7,2,2.5–4.1,750–820,1,–
Rhinophis,melanogaster,115–300,17,S,141–168,D,6–10,2,2.7–5.0,700–1300,1,–
Rhinophis,melanoleucus,244–461,15,S,218–236,D,6–8,2,2.3–3.8,750–850,1,–
Rhinophis,mendisi,185–282,17,S,159–177,D,3–5,2,2.6–4.1,550–950,1,–
Rhinophis,oxyrhynchus,168–608,17–19,S,211–227,D,5–7,2,2.3–3.6,0–1105,1,–
Rhinophis,philippinus,82–420,17,S,153–182,D,2–6,2,2.0–5.2,100–1085,1,2
Rhinophis,phillipsi,111–230,17,S,197–213,D,6–9,2,3.0–3.8,360–1115,1,–
Rhinophis,porrectus,249–444,17,S,281,D,6,2,2.0–3.4,15–100,1,–
Rhinophis,punctatus,231–515,17,S,236–246,D,7–9,2,2.5–3.6,300–900,1,–
Rhinophis,rhodogaster,113–209,15,S,131–145,D,6–11,2,2.5–5.6,1280–2100,1,–
Rhinophis,roshanpererai,146–237,17,S,168–169,D,6–7,2,2.2–5.4,940,1,–
Rhinophis,saffragamus,138–560,19,S,129–149,D,4–9,2,1.6–4.7,0–1035,1,–
Rhinophis,sanguineus,180–458,15,S,182–218,D,5–11,2,2.4–4.2,560–2255,1,–
Rhinophis,travancoricus,104–320,17,S,132–148,D,5–9,2,3.2–4.9,20–1335,1,–
Rhinophis,tricoloratus,193–262,17,S,154–163,D,5,2,2.5–3.7,455,1,–
Rhinophis,zigzag,118–392,17,S,207–221,D,3–6,2,1.6–3.3,1000–1065,1,–
Rhinoplocephalus,bicolor,140–450,15,S,135–165,E,20–45,1,12.1–14.3,25–1395,0,1–5
Rhinotyphlops,ataeniatus,155–455,24–26,S,443–531,U,6–12,U,0.6–1.4,25–1000,0,–
Rhinotyphlops,boylei,106–233,24–28,S,344–379,U,10,U,1.4–1.9,915–1155,0,–
Rhinotyphlops,lalandei,111–355,26–34,S,314–467,U,9–12,U,1.4–2.0,0–1670,0,2–8
Rhinotyphlops,schinzi,160–293,22–32,S,413–538,U,12–15,U,1.8–2.3,0–1670,0,–
Rhinotyphlops,scorteccii,90–280,23–25,S,311–405,U,7–13,U,1.1–2.2,0–100,0,–
Rhinotyphlops,unitaeniatus,164–435,24–26,S,467–586,U,7–11,U,0.–1.5,25–1600,0,–
Rhynchocalamus,arabicus,289+–327,15,S,240,D,71–81,2,15.0–17.0,700–1000,0,–
Rhynchocalamus,dayanae,260–522,15,S,188–229,D,54–62,2,14.9–18.6,700–1000,0,–
Rhynchocalamus,ilamensis,198–396,15,S,211–228,D,61–70,2,17.7–20.2,725–1385,0,–
Rhynchocalamus,levitoni,250–420,15,S,227,D,69,2,16.0–18.8,500–1500,0,–
Rhynchocalamus,melanocephalus,96–550,15,S,164–235,D,44–70,2,15.2–28.6,–50 to 1800,0,3–5
Rhynchocalamus,satunini,162–410,15,S,201–232,D,52–64,2,14.4–22.0,25–1800,0,–
Rhynchophis,boulengeri,170–1630,19,S/k,207–227,D,116–138,2,22.4–30.2,80–1750,0,6–16
Rhynchophis,hainanensis,150–1229,19,S/k,216–221,D,122–135,2,19.4–32.5,205–900,0,3–14
Rodriguesophis,chui,370–533,19,S,163–169,E,47,2,18.9–23.3,545,0,–
Rodriguesophis,iglesiasi,251–1050,19,S,169,E,45,2,13.9–16.2,230–600,0,2–4
Rodriguesophis,scriptorcibatus,316–350,19,S,131–150,E,36–52,2,9.7–25.7,310–400,0,–
Sahyadriophis,beddomei,142–645,19,K,139–153,D(E),61–83,2,21.4–30.4,165–2400,0,–
Sahyadriophis,uttaraghati,295–570,19,K,145–153,D,74–83,2,22.9–28.4,690–1295,0,–
Salomonelaps,par,736–1176+,15–17,S,158–181,D,38–59,4,15.1–15.6,50–700,0,3–12
Salvadora,bairdi,136–859,15–17,S,172–213,D,82–105,2,20.7–38.2,1000–3200,0,4–11
Salvadora,deserticola,210–1143,17,S,170–205,D,66–103,2,19.0–24.4,300–1830,0,3–10
Salvadora,grahamiae,211–1194,17–19,S,177–204,D,76–112,2,18.0–26.9,600–2200,0,3–10
Salvadora,gymnorhachis,317–1151,17,S,176–186,D,92–103,2,15.2–25.2,1760–2100,0,–
Salvadora,hexalepis,210–1210,15–19,S,179–215,D,67–108,2,20.0–26.6,–65 to 2300,0,3–12
Salvadora,intermedia,528–1500,15,S,172–194,D,84–114,2,22.0–30.0,500–2700,0,–
Salvadora,lemniscata,508–1356,17,S,194–208,D,128–146,2,24.1–34.0,50–2000,0,5–12
Salvadora,lineata,203–1194,17,S,178–202,D,81–112,2,23.8–27.0,20–1900,0,4–10
Salvadora,mexicana,555–1615,15–17,S,181–197,D,121–145,2,31.0–42.0,45–1720,0,–
Sanzinia,madagascariensis,340–2500,41–51,S,199–232,E,35–45,1,8.3–13.8,0–1600,1,1–21
Sanzinia,volontary,474–1578,39–50,S,203–230,E,36–46,1,9.2–10.6,400–950,1,–
Saphenophis,antioquiensis,665,17,S,168,D,60–62,2,23.9,2560,0,–
Saphenophis,atahuallpae,600–775,17,S,163,D,87,2,28.7–29.2,1570–2425,0,8–12
Saphenophis,boursieri,530–779,17,S,146–159,D,51–70,2,21.7–27.1,300–2550,0,5–7
Saphenophis,sneiderni,422–503,17,S,149–152,D,54–56,2,21.7–22.3,1700–2550,0,–
Saphenophis,tristriatus,487–790,17,S,170–174,D,65–75,2,24.2–25.6,1800–3200,0,–
Scaphiodontophis,annulatus,104–784,15–17,S,123–168,D,101–149,1,33.0–49.4,170–1550,0,1–12
Scaphiodontophis,venustissimus,243–920,17,S,125–156,D,92–121,1,35.5–44.5,30–1300,0,1–12
Scaphiophis,albopunctatus,328–1512,19–25,S,170–228,D,49–76,2,13.9–22.4,165–1815,0,40–48
Scaphiophis,raffreyi,600–1480,25–31,S,204–243,D,55–79,2,15.0–20.5,s515–2500,0,–
Schwartzophis,callilaemus,358–750,19,S,130–141,D,92–122,2,33.0–43.2,35–1000,0,–
Schwartzophis,funereus,319–700,19,S,123–140,D,62–91,2,27.6–37.1,15–815,0,–
Schwartzophis,polylepis,537–730,19,S,136–146,D,76–106,2,27.9–38.7,10–785,0,–
Scolecophis,atrocinctus,143–450,15,S,181–198,D,45–54,2,12.7–19.0,40–1650,0,7
Senticolis,triaspis,280–1830,27–39,k,241–282,D,83–126,2,18.9–37.0,10–2475,0,2–11
Siagonodon,borrichianus,185–280,14,S,163–285,E,10–13,U,3.6–4.0,240–770,0,4
Siagonodon,cupinensis,103–228,14,S,255–293,E,12–20,U,2.6–5.0,0–600,0,–
Siagonodon,exiguum,171–204,14,S,255–289,E,15–18,U,4.3–5.1,195–330,0,6
Siagonodon,septemstriatus,129–300,14,S,213–247,E,8–12,U,2.1–5.1,20–1000,0,–
Sibon,annulatus,203–611,15,S,161–197,E,104–135,2,31.5–40.9,5–1700,0,2–6
Sibon,anthracops,253–544,13–15,S,162–188,E,69–91,2,23.0–31.0,5–1400,0,2–6
Sibon,argus,235–690,15,S,181–201,E,95–121,2,27.8–33.0,15–900,0,
Sibon,ayerbeorum,195–417,15,S,136–149,E,78–93,2,29.4–30.3,90–1420,0,2
Sibon,bevridgelyi,473–990,15,S,175–193,E,80–98,2,20.6–26.8,5–1205,0,–
Sibon,canopy,475–648,15,S,170–189,E,107–130,2,32.2–34.1,540–1640,0,–
Sibon,carri,196–421,15,S,159–172,E,41–46,2,16.1–18.3,30–800,0,–
Sibon,dimidiatus,176–660,15,S,171–200,E,98–129,2,29.4–33.8,0–1950,0,2–5
Sibon,dunni,164–402,15,S,142–145,E,48–62,2,21.3–25.5,1500–2150,0,–
Sibon,irmelindicaprioae,415–606,15,S,174–196,E,110–128,2,29.6–33.7,210–1295,0,–
Sibon,lamari,366–589,15,S,162–171,E,77–119,2,28.2–34.3,5–750,0,1
Sibon,leucomelas,230–877,15,S,187–198,E,84–101,2,22.8–28.1,20–1630,0,–
Sibon,linearis,311,15,S,155,E,70,2,27.7,100,0,–
Sibon,longifrenis,186–624,15,S,147–173,E,80–106,2,28.0–33.3,20–900,0,2
Sibon,manzanaresi,176–433,15,S,170–176,E,105–112,2,25.5–34.1,40–300,0,4
Sibon,marleyae,336–715,15,S,176–204,E,109–143,2,33.3–39.3,130–1340,0,2
Sibon,merendonensis,687,17,S,184,E,83,2,27.5,1365,0,–
Sibon,miskitus,210–761,15,S,168–180,E,95–112,2,29.0–33.6,35–300,0,4
Sibon,nebulatus,159–1013,15,S,159–200,E,64–114,2,21.0–29.0,10–2630,0,2–10
Sibon,noalamina,225–546,15,S,164–177,E,80–96,2,27.6–28.4,110–1635,0,–
Sibon,perissostichon,671,17,S,186,E,108,2,31.3,1430–1440,0,–
Sibon,vieirai,465–732,15,S,178–195,E,78–105,2,23.8–29.2,5–1810,0,4
Sibynophis,bistrigatus,266–350,17,S,184–192,D,73–82,2,26.0–28.6,15–2160,0,–
Sibynophis,bivittatus,279–504,17,S,145–155,D,110–116,2,32.0–41.5,5–975,0,–
Sibynophis,chinensis,100–849,17,S,168–208,D,73–125,2,20.7–38.8,95–3235,0,2–9
Sibynophis,collaris,176–781,17,S,155–190,D,102–131,2,19.0–45.5,0–3280,0,2–6
Sibynophis,geminatus,344+–820,17,S,140–183,D,73–145,2,22.0–43.0,0–1300,0,1–3
Sibynophis,grahami,298–850,17,S,188–194,D,83,2,16.4–27.4,1875–1935,0,–
Sibynophis,melanocephalus,181+–793,17,S,144–177,D,94–149,2,31.3–40.8,100–1450,0,–
Sibynophis,sagittarius,219–555,17,S,197–238,D,54–70,2,12.8–45.0,0–640,0,2–6
Sibynophis,subpunctatus,221–460,17,S,151–215,D,42–76,2,17.7–25.7,15–2160,0,1–5
Sibynophis,triangularis,327+–700,17,S,160–189,D,113–124,2,> 27.0–32.7,55–2870,0,–
Simalia,amethistina,650–4500,35–57,S,270–346,E,80–120,2(3),12.1–20.6,20–1800,0,5–26
Simalia,boeleni,2205–3068,44–51,S,282–298,E,57–64,2(3),6.0–14.4,1000–3000,0,14–25
Simalia,clastolepis,583–3800,45–52,S,300–313,E,93–101,2(3),15.2–27.0,20–1450,0,–
Simalia,kinghorni,575–8500,35–50,S,320–344,E,73–100,2(3),10.4–12.9,20–925,0,5–22
Simalia,nauta,400–2347,41–45,S,289–311,E,96–104,2(3),13.8–19.3,10,0,10–20
Simalia,traceyae,2500–4000,47–51,S,315–326,E,96–103,2(3),14.7–18.9,30–1450,0,6–7
Simophis,rhinostoma,335–887,15–17,S,161–191,D,60–74,2,16.9–22.1,170–1065,0,2–7
Simoselaps,anomalus,95–310,15,S,115–130,D,15–30,2,9.2–13.2,5–790,0,2–4
Simoselaps,bertholdi,85–320,15,S,112–135,D,15–30,2,7.8–13.1,5–810,0,1–8
Simoselaps,littoralis,75–385,15,S,100–125,D,15–26,2,8.0–14.2,0–300,0,3–5
Simoselaps,minimus,172–410,15,S,124–135,D,18–25,2,9.1–13.3,5–675,0,–
Sinomicrurus,annularis,222–690,13,S,194–228,D,24–38,2,8.1–14.0,10–1500,0,4
Sinomicrurus,boettgeri,210–604,13,S,163–221,D,25–31,2,8.0–11.2,5–225,0,5–6
Sinomicrurus,gorei,120–730,13,S,208–242,D,24–33,2,6.4–12.5,90–2000,0,3
Sinomicrurus,iwasakii,250–930,13,S,210–233,D,27–40,2,10.3–12.0,10–100,0,6–11
Sinomicrurus,japonicus,145–600,13–15,S,166–217,D,26–32,2,7.7–11.2,0–85,0,3–8
Sinomicrurus,kelloggi,450–774,15,S,173–202,D,27–38,2,8.0–13.1,20–1680,0,5–14
Sinomicrurus,macclellandi,201–851,13,S,182–256,D,20–41,2,6.7–13.0,45–2500,0,3–14
Sinomicrurus,peinani,313–807,13,S,208–238,D,26–34,2,6.0–9.6,30–1500,0,–
Sinomicrurus,sauteri,230–980,13–15,S,229–269,D,28–55,2,6.1–9.5,180–1500,0,–
Sinomicrurus,swinhoei,212–569,13,S,207–239,D,32–41,2,9.9–11.1,20–1200,0,–
Sinovipera,sichuanensis,865–1220,19–25,K,150–179,E,43–77,2,16.7–20.3,545–1600,1,–
Siphlophis,ayauma,389–930+,17,S,190–200,E,86–111,2,23.4–32.2,1250–2200,0,–
Siphlophis,cervinus,577–1300,19,S,229–273,E,97–129,2,20.5–25.5,5–915,0,3–12
Siphlophis,compressus,367–1431,19,S,221–258,E,104–125,2,20.1–34.5,20–1500,0,3–12
Siphlophis,leucocephalus,800–1050,19,S,230,E,113,2,23.3–28.6,0–10,0,–
Siphlophis,longicaudatus,780–920,19,S,221–231,E,101,2,23.9–24.7,40–1035,0,5–7
Siphlophis,pulcher,653–930,19,S,229–241,E,101–109,2,21.1–26.9,0–50,0,2–7
Siphlophis,worontzowi,293–1107,19,S,221–244,E,93–119,2,22.4–33.6,5–500,0,–
Sistrurus,catenatus,135–1003,21–27,K,129–157,E,19–33,2,5.6–15.9,0–2100,1,2–20
Sistrurus,miliarius,78–845,19–25,K,122–148,E,25–39,2,7.0–15.0,0–500,1,2–32
Sistrurus,tergeminus,171–883,23–27,K,129–160,E,19–36,2,6.6–13.3,300–1580,1,2–19
Smithophis,arunachalensis,478–657,17,S,192–205,D,68–78,2,20.9–23.4,265–650,0,–
Smithophis,atemporalis,440–625,17,S,187–203,D,68–85,2,23.9–29.0,70–1235,0,4
Smithophis,bicolor,287–751,17,S,186–217,D,58–88,2,17.2–24.3,70–1460,0,6
Smithophis,daovantieni,562–578,17,S,189–194,D,39–47,2,11.8–16.1,750–1100,0,–
Smithophis,linearis,506–609,17,S,183–191,D,57–64,2,19.0–20.8,465–1500,0,–
Smithophis,mizoramensis,561–612,17,S,200–214,D,67–74,2,21.6–25.0,835,0,–
Sonora,aemula,70–447,15,S,141–156,D,34–45,2,13.1–17.9,50–1680,0,2–7
Sonora,annulata,112–447,15,S,140–178,D,34–57,2,15.3–20.7,–70 to 1005,0,2–9
Sonora,cinctus,97–291,13–14,S,104–135,D,18–31,2,8.8–17.8,75–820,0,1–4
Sonora,episcopa,99–457,15,S,145–163,D,35–57,2,17.9–24.0,1480–1675,0,6
Sonora,fasciatus,153–299,13,S,104–137,D,19–33,2,11.8–12.3,30–490,0,2–4
Sonora,michoacanensis,76–279,15,S,152–177,D,32–48,2,15.0–24.4,0–1365,0,3–6
Sonora,mosaueri,115–328,14,S,150–164,D,39–49,2,17.7–19.2,35–60,0,–
Sonora,mutabilis,99–266,15,S,160–189,D,34–48,2,15.2–23.6,15–1800,0,–
Sonora,occipitalis,100–447,14–16,S,136–178,D,33–57,2,15.1–21.1,150–1430,0,1–9
Sonora,palarostris,120–432,15,S,139–161,D,38–50,2,16.4–23.2,0–760,0,3–5
Sonora,punctatissimus,108–280,13,S,111–127,D,19–28,2,11.5–14.4,0–560,0,–
Sonora,savagei,224–268,13,S,127–138,D,21–28,2,10.0–11.3,0–765,0,2–4
